data,municipio,fonte,titulo,link,resumo,classificacao,palavras_chave_detectadas,entidades_locais,eventos_problemas
Data não identificada,Tietê,climatempo.com.br,Clima e Saúde: Impactos do Tempo no seu Bem-Estar | Climatempo,https://www.climatempo.com.br/noticias/saude,"Sistema de baixa pressão, cavados e calor intenso espalham instabilidades pelo Sul, Sudeste, Centro-Oeste, Norte e parte do Nordeste, com alerta para volumes elevados de chuva e rajadas de vento.
As altas temperaturas em grande parte do Brasil tem elevado o desconforto térmico.
Esse cenário intensifica o cansaço, prejudica o sono e aumenta os riscos à saúde, especialmente para grupos mais vulneráveis.",Alta,"Cantareira, Tietê, chuva, seca",Cantareira,"chuva, seca"
Data não identificada,Americana,comitespcj.org.br,Comitês PCJ,https://www.comitespcj.org.br/comites-pcj/,"Deliberações dos Comitês PCJ (CBH-PCJ, PCJ FEDERAL e CBH-PJ1) ANO 2025 (aprovação, reunião plenária) 536/25 (11/12/25, 34ª Ordinária): Dispõe sobre a doação de bens imobilizados da Fundação Agência das Bacias PCJ, adquiridos com fonte da cobrança pelo uso dos recursos hídricos de domínio da União nas Bacias PCJ, e classificados como irrecuperáveis e antieconômicos.
535/25 (11/12/25, 34ª Ordinária): Define cronograma e regras para seleção de empreendimentos, na temática de saneamento, visando a indicação para obtenção de financiamento com recursos da Cobrança PCJ Paulista pelo uso dos recursos hídricos e da Compensação Financeira pela Utilização dos Recursos Hídricos para Fins de Geração de Energia Elétrica (CFURH), referente aos orçamentos de 2026 e 2027, e dá outras providências.
534/25 (11/12/25, 34ª Ordinária): Cancela a indicação de empreendimentos financiados com recursos da Cobrança PCJ Federal, referente aos exercícios 2023 e 2024 e dá outras providências.",Alta,"Agência PCJ, Americana, Cantareira, Comitês PCJ, PCJ, Sistema Cantareira, estiagem","Agência PCJ, Cantareira, Comitês PCJ, PCJ, Sistema Cantareira",estiagem
Data não identificada,Tietê,climatempo.com.br,Governo e Clima: Políticas Públicas e Ações Climáticas | Climatempo,https://www.climatempo.com.br/noticias/governo,"Mesmo com episódios de chuva, fatores acumulados como calor extremo, irregularidade das precipitações e períodos úmidos fracos mantêm o sistema Cantareira em nível crítico.
Radar de Porto Alegre identificou a célula que causou estragos no norte do RS; o alerta da Defesa Civil foi emitido 30 minutos antes da chegada da tempestade.
A tecnologia da Climatempo foi decisiva para a emissão do primeiro alerta da Defesa Civil com tecnologia Cell Broadcast no RS.",Alta,"Cantareira, Sistema Cantareira, Tietê, chuva, tempestade","Cantareira, Sistema Cantareira","chuva, tempestade"
Data não identificada,,climatempo.com.br,Infraestrutura e Clima: Últimas Notícias e impactos na economia | Climatempo,https://www.climatempo.com.br/noticias/infraestrutura,"Após duas ZCAS, acumulado de chuva sobe para quase 195 mm no mês e ajuda na recuperação do Catareira, mas armazenamento segue abaixo do registrado em 2025 e mantém cenário de atenção.
Mesmo com episódios de chuva, fatores acumulados como calor extremo, irregularidade das precipitações e períodos úmidos fracos mantêm o sistema Cantareira em nível crítico.
Mesmo com dois episódios de ZCAS, chuvas de janeiro tiveram baixa eficiência hidrológica e recuperação dos níveis segue lenta no principal subsistema elétrico do país.",Alta,"Cantareira, Sistema Cantareira, chuva","Cantareira, Sistema Cantareira",chuva
2026-03-12T10:49:00-03:00,Extrema,Agência Brasil,Entenda o que são “redpill” e outros termos de ódio contra mulheres,https://agenciabrasil.ebc.com.br/direitos-humanos/noticia/2026-03/entenda-o-que-sao-redpill-e-outros-termos-de-odio-contra-mulheres,"Há décadas, grupos de homens têm atuado em fóruns de internet, redes sociais e outros canais de comunicação para estimular hierarquias de gênero e ódio contra as mulheres.
Espaços e discursos de ódio, segundo especialistas, são combustíveis para ações concretas de violência, como o caso recente de estupro coletivo contra uma adolescente no Rio de Janeiro.
Ativistas e pesquisadores veem esses movimentos e ideologias como parte de um fenômeno estrutural chamado “misoginia”: o ódio contra as mulheres e a defesa da manutenção de privilégios históricos – sociais, culturais, econômicos e políticos – para os homens.",Média,"Extrema, vazamento",,vazamento
2026-03-12T10:00:45-03:00,Campinas,"Campinas acidade on | Notícias, vídeos, política, cultura e mais",Chuva faz Campinas fechar 11 parques e a Mata de Santa Genebra nesta quinta - ACidade ON Campinas,https://www.acidadeon.com/campinas/cotidiano/chuva-faz-campinas-fechar-11-parques-e-a-mata-de-santa-genebra-nesta-quinta/,"Medida foi tomada após índice de chuva ultrapassar 80 mm em 72 horas; locais ficam fechados por pelo menos 24 horas e situação será reavaliada na sexta-feira (13) Medida foi tomada após índice de chuva ultrapassar 80 mm em 72 horas; locais ficam fechados por pelo menos 24 horas e situação será reavaliada na sexta-feira (13) A Prefeitura de Campinas determinou o fechamento de 11 parques públicos e da Mata de Santa Genebra nesta quinta-feira (12) após o volume de chuva registrado na cidade superar o limite previsto em decreto municipal.
A medida vale por 24 horas e será reavaliada na sexta-feira (13) .
A decisão segue o decreto nº 24.175/2025 , que prevê a suspensão do funcionamento de parques e bosques quando o índice de precipitação ultrapassa 80 milímetros em um período de 72 horas .",Média,"Campinas, chuva",,chuva
2026-03-12T09:06:37-03:00,Piracicaba,sampi,JP1: PM é condenado a 58 anos por mortes em show em Piracicaba,https://sampi.net.br/piracicaba/noticias/2966917/cidade/2026/03/pm-e-condenado-a-58-anos-por-mortes-em-show-em-piracicaba-,"Após quase 20 horas de julgamento, o Tribunal do Júri de Piracicaba condenou o policial militar Leandro Henrique Pereira a 58 anos e 4 meses de prisão.
A decisão foi anunciada na madrugada desta quinta-feira (12), após os jurados considerarem o réu culpado pelos crimes ocorridos durante um show sertanejo realizado na cidade em novembro de 2022.
O policial foi condenado por dois homicídios duplamente qualificados e três tentativas de homicídio, também com qualificadoras.",Média,"Piracicaba, chuva",,chuva
2026-03-12T11:49:02+00:00,Limeira,eLimeira,Passageiro fica gravemente ferido após carro bater na traseira de caminhão em Limeira,https://elimeira.com.br/noticias/policia/passageiro-fica-gravemente-ferido-apos-carro-bater-na-traseira-de-caminhao-em-limeira/,"Acidente ocorreu durante a madrugada na Avenida Major José Levy Sobrinho; motorista foi preso por dirigir sob efeito de álcool Um homem de 48 anos ficou gravemente ferido após um acidente de trânsito registrado na madrugada desta quinta-feira (12), por volta de 2h30, na Avenida Major José Levy Sobrinho , próximo ao Monumental Bom Pastor , em Limeira (SP) .
Calheiro fica ferido após cair de mais de 6 metros em condomínio de Limeira A Polícia Militar (PM) foi acionada e, ao chegar ao local, constatou que a vítima já havia sido socorrida por uma equipe do Serviço de Atendimento Móvel de Urgência (Samu) e levada ao hospital.
De acordo com as informações apuradas junto aos policiais, o carro em que a vítima estava colidiu na traseira de um caminhão.",Média,"Limeira, chuva",,chuva
2026-03-12T08:48:33-03:00,Campinas,"Campinas acidade on | Notícias, vídeos, política, cultura e mais",Fábrica de gelo clandestina é interditada suspeita de usar água da chuva; três pessoas são presas - ACidade ON Campinas,https://www.acidadeon.com/campinas/piracicaba/fabrica-de-gelo-clandestina-e-interditada-suspeita-de-usar-agua-da-chuva-tres-pessoas-sao-presas/,"Segundo a GM, a ocorrência começou após uma denúncia de tráfico de drogas Segundo a GM, a ocorrência começou após uma denúncia de tráfico de drogas Uma fábrica de gelo clandestina foi interditada na noite desta quarta-feira (11) , no bairro Jardim Alvorada, em Cosmópolis .
De acordo com a GM (Guarda Municipal) , três pessoas foram presas em flagrante e, no local, foram apreendidas 29 porções de crack – veja as fotos abaixo .
Água coletada da chuva Ainda segundo os agentes, a água utilizada na fabricação vinha diretamente da encanação do imóvel e poderia ser de origem irregular, já que o local seria uma área de invasão.",Média,"Campinas, chuva",,chuva
2026-03-12T08:13:06-03:00,Piracicaba,sampi,JP1: VÍDEO: Chuva já dura 8 horas e altera rotina em Piracicaba,https://sampi.net.br/piracicaba/noticias/2966906/policia/2026/03/video-chuva-ja-dura-8-horas-e-altera-rotina-em-piracicaba-,"A madrugada chuvosa que avançou pela manhã desta quinta-feira (12), mudou completamente a rotina em Piracicaba.
A chuva intensa que caiu durante a noite continua de forma moderada, obrigou moradores a reorganizar a rotina logo cedo.
LEIA MAIS ""Era feliz e amava viver"", diz amiga de motorista que morreu em Piracicaba Honem que morreu atingido por carro no centro é identificado em Piracicaba Mesmo com a temperatura amena, em torno de 21 °C, sair de casa sem proteção tornou-se praticamente impossível.",Média,"Piracicaba, chuva",,chuva
2026-03-12T08:13:06-03:00,Piracicaba,sampi,Sampi: VÍDEO: Chuva já dura 8 horas e altera rotina em Piracicaba,https://sampi.net.br/nacional/noticias/2966906/policia/2026/03/video-chuva-ja-dura-8-horas-e-altera-rotina-em-piracicaba-,"A madrugada chuvosa que avançou pela manhã desta quinta-feira (12), mudou completamente a rotina em Piracicaba.
A chuva intensa que caiu durante a noite continua de forma moderada, obrigou moradores a reorganizar a rotina logo cedo.
LEIA MAIS ""Era feliz e amava viver"", diz amiga de motorista que morreu em Piracicaba Honem que morreu atingido por carro no centro é identificado em Piracicaba Mesmo com a temperatura amena, em torno de 21 °C, sair de casa sem proteção tornou-se praticamente impossível.",Média,"Piracicaba, chuva",,chuva
2026-03-12T08:00:00-03:00,Campinas,"Campinas acidade on | Notícias, vídeos, política, cultura e mais",Quinta-feira em Campinas terá chuva e risco de trovoadas ao longo do dia - ACidade ON Campinas,https://www.acidadeon.com/campinas/cotidiano/quinta-feira-em-campinas-tera-chuva-e-risco-de-trovoadas-ao-longo-do-dia/,"Previsão indica tempo instável, céu encoberto e temperaturas amenas nesta quinta (11) em Campinas Previsão indica tempo instável, céu encoberto e temperaturas amenas nesta quinta (11) em Campinas A quinta-feira (11) deve ser marcada por tempo fechado e chuva em vários momentos do dia em Campinas .
A previsão aponta céu nublado e instabilidade persistente, com possibilidade de pancadas fortes e trovoadas desde a manhã até a noite.
Segundo os modelos meteorológicos, as temperaturas ficam mais baixas do que nos últimos dias, variando entre 20 °C na madrugada e cerca de 22 °C durante a tarde, devido à grande quantidade de nuvens e à chuva frequente ao longo do período.",Média,"Campinas, chuva",,chuva
2026-03-12T10:32:19+00:00,Campinas,JR,Força Tática apreende arsenal e grande quantidade de drogas em Campinas,https://jr.jor.br/2026/03/12/forca-tatica-apreende-arsenal-e-grande-quantidade-de-drogas-em-campinas/,"A Força Tática do 35º Batalhão de Polícia Militar do Interior, em Campinas, realizou a prisão em flagrante de um homem suspeito de tráfico de drogas.
A ação teve início após informações repassadas pelo sistema de emergência 190, que indicavam a presença de um indivíduo envolvido com o comércio ilegal de entorpecentes na Rua Antônio Guilherme da Costa, no bairro Antônio Von Zuben.
Durante a abordagem, os policiais localizaram duas armas de fogo, centenas de munições de diferentes calibres e uma expressiva quantidade de drogas variadas, além de materiais utilizados para o preparo e fracionamento dos entorpecentes destinados à comercialização.",Média,"Campinas, seca",,seca
2026-03-11T21:44:59+00:00,Jundiaí,JR,Defesa Civil alerta para a possibilidade de chuva forte nas próximas 48 horas,https://jr.jor.br/2026/03/11/defesa-civil-alerta-para-a-possibilidade-de-chuva-forte-nas-proximas-48-horas/,"A Defesa Civil alerta para a possibilidade de chuvas intensas em Jundiaí.
De acordo com a Casa Militar da Defesa Civil estadual, o volume de chuva das próximas 48 horas pode chegar a até 100 milímetros, o que aumenta o risco de alagamentos, enxurradas e deslizamentos em áreas mais vulneráveis.
Diante da previsão, a orientação é para que moradores de áreas de risco redobrem a atenção.",Média,"Jundiaí, chuva",,chuva
